,Proton Number,Nucleon Number,Binding Energy
2519,82.0,183,1.3895759873630027
2520,70.0,184,1.4345831379999936
2521,71.0,184,1.4372810699999832
2522,72.0,184,1.4414774399830037
2523,73.0,184,1.4418167291019586
2524,74.0,184,1.4436812094199922
2525,75.0,184,1.4411963640369834
2526,76.0,184,1.4402290924109593
2527,77.0,184,1.4345898439999871
2528,78.0,184,1.4313126841009876
2529,79.0,184,1.423302632087001
2530,80.0,184,1.4183308129209706
2531,81.0,184,1.4078744001369898
2532,82.0,184,1.401045724745984
2533,83.0,184,1.3877459429999703
2534,70.0,185,1.4384653249999815
2535,71.0,185,1.4429423980000138
2536,72.0,185,1.446299477999986
2537,73.0,185,1.4483724138729883
2538,74.0,185,1.4493648572139932
2539,75.0,185,1.4487958040799924
2540,76.0,185,1.4467832028610133
2541,77.0,185,1.4433141619999788
2542,78.0,185,1.4386686834710076
2543,79.0,185,1.4328412510989494
2544,80.0,185,1.4261697620239886
2545,81.0,185,1.4187472650409916
2546,82.0,185,1.4095350899999914
2547,83.0,185,1.3992343999999832
2548,71.0,186,1.4473040499999854
2549,72.0,186,1.4524048929999935
2550,73.0,186,1.4535871234839703
2551,74.0,186,1.4564860546599903
2552,75.0,186,1.4549050808679738
2553,76.0,186,1.4549772232609541
2554,77.0,186,1.4501515720259874
2555,78.0,186,1.4478443633049949
2556,79.0,186,1.4406980335069761
2557,80.0,186,1.4365239212089875
2558,81.0,186,1.4268723933029719
2559,82.0,186,1.4206731102210028
2560,83.0,186,1.408143829660986
2561,84.0,186,1.399900645005971
2562,71.0,187,1.4527549719999797
2563,72.0,187,1.456982537000016
2564,73.0,187,1.4598759789999747
2565,74.0,187,1.4618828771810115
2566,75.0,187,1.4621946859729746
2567,76.0,187,1.4611971512609898
2568,77.0,187,1.4585283979999986
2569,78.0,187,1.4546659025739643
2570,79.0,187,1.4500112611429756
2571,80.0,187,1.4441035942599854
2572,81.0,187,1.4374326870599816
2573,82.0,187,1.4289790060979897
2574,83.0,187,1.4193798897679812
2575,84.0,187,1.409177690257991
2576,71.0,188,1.4568075320000275
2577,72.0,188,1.4628133069999762
2578,73.0,188,1.464892123999988
2579,74.0,188,1.468647369424957
2580,75.0,188,1.4679961844019829
2581,76.0,188,1.4691154811479805
2582,77.0,188,1.4653246159309674
2583,78.0,188,1.4638009079490075
2584,79.0,188,1.4573541436539585
2585,80.0,188,1.454182332921988
2586,81.0,188,1.4453245551339933
2587,82.0,188,1.4398015774509645
2588,83.0,188,1.4281909844160054
2589,84.0,188,1.4205440894339745
2590,72.0,189,1.4671358569999882
2591,73.0,189,1.4709426099999519
2592,74.0,189,1.4737904329999765
2593,75.0,189,1.4749589517159905
2594,76.0,189,1.4749661214809748
2595,77.0,189,1.4734292575380152
2596,78.0,189,1.4704500604649695
2597,79.0,189,1.4665641457339689
2598,80.0,189,1.4616106635439792
2599,81.0,189,1.4556030482249582
2600,82.0,189,1.447834554401993
2601,83.0,189,1.4390593255909607
2602,84.0,189,1.4294212413250023
2603,72.0,190,1.472786943999978
2604,73.0,190,1.4757045919999712
2605,74.0,190,1.4803506023979764
2606,75.0,190,1.4805641404159928
2607,76.0,190,1.482687293498003
2608,77.0,190,1.4797341188059931
2609,78.0,190,1.4792867147870083
2610,79.0,190,1.4738161244739842
2611,80.0,190,1.4713539852499764
2612,81.0,190,1.4633533111990005
2613,82.0,190,1.4584057771679682
2614,83.0,190,1.4475902851319802
2615,84.0,190,1.4405602884389737
2616,73.0,191,1.4815055699999675
2617,74.0,191,1.48515963899996
2618,75.0,191,1.4873321872179872
2619,76.0,191,1.4883759342449991
2620,77.0,191,1.4876893553949628
2621,78.0,191,1.4856794010090084
2622,79.0,191,1.4827799831879815
2623,80.0,191,1.4785756217689823
2624,81.0,191,1.4732690094169527
2625,82.0,191,1.4662804803949996
2626,83.0,191,1.4582323290679824
2627,84.0,191,1.449066042085974
2628,85.0,191,1.4391381365889515
2629,73.0,192,1.4860878689999595
2630,74.0,192,1.4916039379999972
2631,75.0,192,1.492572071999973
2632,76.0,192,1.4958632697849623
2633,77.0,192,1.4938171525660096
2634,78.0,192,1.494269277022994
2635,79.0,192,1.4897548004350085
2636,80.0,192,1.4879945011469715
2637,81.0,192,1.4808585249999737
2638,82.0,192,1.4765398842619675
2639,83.0,192,1.466527358312959
2640,84.0,192,1.460062204905995
2641,85.0,192,1.4480758109279748
2642,73.0,193,1.4917985399999907
2643,74.0,193,1.4961759960000052
2644,75.0,193,1.4992156049999892
2645,76.0,193,1.5013766879530124
2646,77.0,193,1.5015179859569514
2647,78.0,193,1.5004613876739938
2648,79.0,193,1.4983871104979585
2649,80.0,193,1.4950456892549653
2650,81.0,193,1.4904626435859996
2651,82.0,193,1.4842174640659778
2652,83.0,193,1.476876138179989
2653,84.0,193,1.4683208860489856
2654,85.0,193,1.4590672880249826
2655,86.0,193,1.4489618771369805
2656,73.0,194,1.4961210900000026
2657,74.0,194,1.5023968549999722
2658,75.0,194,1.5042457149999962
2659,76.0,194,1.508417972082981
2660,77.0,194,1.5075145205069873
2661,78.0,194,1.5087416633620023
2662,79.0,194,1.5051948635189945
2663,80.0,194,1.5041668804519759
2664,81.0,194,1.4979232091519634
2665,82.0,194,1.4941950253719938
2666,83.0,194,1.4850145210889991
2667,84.0,194,1.478998780001973
2668,85.0,194,1.4677161103039964
2669,86.0,194,1.4602784128839517
2670,74.0,195,1.5067287150000084
2671,75.0,195,1.5105466399999727
2672,76.0,195,1.5134959419999632
2673,77.0,195,1.5146755079619822
2674,78.0,195,1.5147764834249529
2675,79.0,195,1.5135497867869958
2676,80.0,195,1.5109968918209802
2677,81.0,195,1.5071403575879856
2678,82.0,195,1.5017254485229898
2679,83.0,195,1.4950160053709851
2680,84.0,195,1.4871107578890133
2681,85.0,195,1.4784684591199664
2682,86.0,195,1.4689523945069993
2683,74.0,196,1.5127298579999433
2684,75.0,196,1.5153477239999802
2685,76.0,196,1.5202621240089798
2686,77.0,196,1.5204199081609602
2687,78.0,196,1.5226272227120035
2688,79.0,196,1.5201222006969601
2689,80.0,196,1.5198090627050078
2690,81.0,196,1.5144820130409755
2691,82.0,196,1.5113347890879822
2692,83.0,196,1.502999480120991
2693,84.0,196,1.4974615878179804
2694,85.0,196,1.4869110993460026
